ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE
3753	Maragua	back	wasa	wasa	w a s a		615	w a s a	C V C V
3754	Napo	back	huasha	huasha	w a ʃ a		615	w a ʃ a	C V C V
3755	Pacaraos	back	washa	washa	w a ʃ a		615	w a ʃ a	C V C V
3759	Puno	back	wasa	wasa	w a s a		615	w a s a	C V C V
3763	Santiagueno	back	wasa	wasa	w a s a		615	w a s a	C V C V
3734	Chacpar	back	waxta	waxta	w a x t a		787	w a x t a	C V C C V
3735	Chetilla	back	waxta	waxta	w a x t a		787	w a x t a	C V C C V
3740	Huallaga	back	waχta	waχta	w a χ t a		787	w a χ t a	C V C C V
3744	HuarazHuailas	back	waqta	waqta	w a q t a		787	w a q t a	C V C C V
3746	Inkawasi	back	waχta	waχta	w a χ t a		787	w a χ t a	C V C C V
3772	Yanac	back	waqta, waχta	waqta	w a q t a		787	w a q t a	C V C C V
533	Apuri	be sick	unqu-	unqu-	o ŋ q u		874	o ŋ q u - - - -	V C C V
534	Apurimac	be sick	onqochi	onqochi	o n q o tʃ i		874	o n q o tʃ - - i	V C C V C V
536	Atalla	be sick	unġu	unġu	u n ɢ u		874	u n ɢ u - - - -	V C C V
537	Ayacucho	be sick	onqo	onqo	o ŋ χ o		874	o ŋ χ o - - - -	V C C V
550	Huangascar	be sick	unqu-	unqu-	o ŋ q u		874	o ŋ q u - - - -	V C C V
551	Imbabura	be sick	unku	unku	u n k u		874	u n k u - - - -	V C C V
558	Maragua	be sick	unqu	unqu	u n q u		874	u n q u - - - -	V C C V
559	Napo	be sick	unguchina	unguchina	u n g u tʃ i n a		874	u n g u tʃ i n a	V C C V C V C V
564	Puno	be sick	unqu	unqu	u n q u		874	u n q u - - - -	V C C V
567	Santiagueno	be sick	onqos	onqos	o ŋ q o s		874	o ŋ q o s - - -	V C C V C
540	Chacpar	be sick	ġišiya.	ġišiya.	ɢ i ʃ i j a		3	ɢ i ʃ i j a	C V C V C V
541	Chetilla	be sick	qiyša.	qiyša.	q i ʃ a		3	q i ʃ - - a	C V C V
547	Huallaga	be sick	qišya.	qišya.	q i ʃ j a		3	q i ʃ - j a	C V C C V
7504	HuarazHuailas	be sick	queshya	queshya	q i ʃ j a		3	q i ʃ - j a	C V C C V
552	Inkawasi	be sick	qiša.	qiša.	q i ʃ a		3	q i ʃ - - a	C V C V
7330	Jauja	be sick	qishyay	qishyay	h i ʃ j a		3	h i ʃ - j a	C V C C V
560	Pacaraos	be sick	qishya	qishya	χ e ʃ j a		3	χ e ʃ - j a	C V C C V
575	Yanac	be sick	qiš(i)ya., ġišya	qišya.	q i ʃ j a		3	q i ʃ - j a	C V C C V
4162	Apuri	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4163	Apurimac	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4165	Atalla	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4166	Ayacucho	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
7211	Azuay	belly (stomach)	huigsa	huigsa	w i χ a		83	w i χ - a	C V C V
4169	Chachapoyas	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4180	Huangascar	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4182	Imbabura	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4191	Maragua	belly (stomach)	wixsa	wixsa	w i x s a		83	w i x s a	C V C C V
4192	Napo	belly (stomach)	huicsa	huicsa	w i k s a		83	w i k s a	C V C C V
4197	Puno	belly (stomach)	wiksa	wiksa	w i k s a		83	w i k s a	C V C C V
4201	Santiagueno	belly (stomach)	wiksa	wiksa	w i x s a		83	w i x s a	C V C C V
4170	Chacpar	belly (stomach)	pača	pača	p a tʃ a		85	p a tʃ a	C V C V
4171	Chetilla	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	p a ʈʂ a	C V C V
4177	Huallaga	belly (stomach)	pača	pača	p a tʃ a		85	p a tʃ a	C V C V
4181	HuarazHuailas	belly (stomach)	pacha	pacha	p a tʃ a		85	p a tʃ a	C V C V
4183	Inkawasi	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	p a ʈʂ a	C V C V
7336	Jauja	belly (stomach)	pata	pata	p a t a		85	p a t a	C V C V
4193	Pacaraos	belly (stomach)	patra	patra	p a ʈʂ a		85	p a ʈʂ a	C V C V
4211	Yanac	belly (stomach)	paĉa	paĉa	p a ʈʂ a		85	p a ʈʂ a	C V C V
189	Apuri	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
190	Apurimac	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
192	Atalla	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
193	Ayacucho	big	hatun	hatun	h a t u ŋ		189	h a t u ŋ	C V C V C
7268	Azuay	big	jatun	jatun	h a t u n		189	h a t u n	C V C V C
196	Chachapoyas	big	atun	atun	a t u n		189	- a t u n	V C V C
197	Chacpar	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
198	Chetilla	big	atun	atun	a t u n		189	- a t u n	V C V C
203	Huallaga	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
206	Huangascar	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
207	HuarazHuailas	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
208	Imbabura	big	jatun	jatun	x a t u n		189	x a t u n	C V C V C
209	Inkawasi	big	atun	atun	a t u n		189	- a t u n	V C V C
7337	Jauja	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
216	Maragua	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
217	Napo	big	jatun	jatun	h a t u n		189	h a t u n	C V C V C
218	Pacaraos	big	hatun	hatun	x a t u ŋ		189	x a t u ŋ	C V C V C
222	Puno	big	hatun	hatun	h a t u n		189	h a t u n	C V C V C
225	Santiagueno	big	atun	atun	a t u n		189	- a t u n	V C V C
234	Yanac	big	atun	atun	a t u n		189	- a t u n	V C V C
4555	Apuri	bird	pishqu	pishqu	p i ʃ q o		276	p i ʃ q o	C V C C V
4557	Apurimac	bird	pisqo	pisqo	p i s q o		276	p i s q o	C V C C V
4562	Ayacucho	bird	urpitu, pisqo	pisqo	p i s χ o		276	p i s χ o	C V C C V
7218	Azuay	bird	pishcu	pishcu	p i ʃ k u		276	p i ʃ k u	C V C C V
4565	Chachapoyas	bird	pishku	pishku	p i ʃ k u		276	p i ʃ k u	C V C C V
4567	Chetilla	bird	pišγu	pišγu	p i ʃ ʁ u		276	p i ʃ ʁ u	C V C C V
4574	Huallaga	bird	pišqu	pišqu	p i ʃ q u		276	p i ʃ q u	C V C C V
4577	Huangascar	bird	pishqu	pishqu	p i ʃ q o		276	p i ʃ q o	C V C C V
4578	HuarazHuailas	bird	pishqu	pishqu	p i ʃ q u		276	p i ʃ q u	C V C C V
4579	Imbabura	bird	pishku	pishku	p i ʃ k u		276	p i ʃ k u	C V C C V
7338	Jauja	bird	pishqu	pishqu	p i ʃ ʔ u		276	p i ʃ ʔ u	C V C C V
4587	Maragua	bird	p'isqu	p'isqu	pʼ i s q u		276	pʼ i s q u	C V C C V
4588	Napo	bird	pishcu	pishcu	p i ʃ k u		276	p i ʃ k u	C V C C V
4589	Pacaraos	bird	pishqu	pishqu	p i ʃ χ o		276	p i ʃ χ o	C V C C V
4593	Puno	bird	p'isqu	p'isqu	pʼ i s q u		276	pʼ i s q u	C V C C V
4597	Santiagueno	bird	pishqo	pishqo	p i ʃ q o	in disuse, vulgar connotation.	276	p i ʃ q o	C V C C V
4606	Yanac	bird	pišqu	pišqu	p i ʃ q u		276	p i ʃ q u	C V C C V
4580	Inkawasi	bird	kuru	kuru	k u r u		828	k u r u	C V C V
1788	Apuri	bite, to	kani-	kani-	k a n i		373	k a n - - i	C V C V
1790	Apurimac	bite, to	kachu, kani	kani	k a n i		373	k a n - - i	C V C V
1794	Ayacucho	bite, to	kani	kani	k a n i		373	k a n - - i	C V C V
1797	Chachapoyas	bite, to	kani	kani	k a n i		373	k a n - - i	C V C V
1798	Chacpar	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
1799	Chetilla	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
1804	Huallaga	bite, to	kañi.	kañi.	k a ɲ i		373	k a ɲ - - i	C V C V
1807	Huangascar	bite, to	kani-	kani-	k a n i		373	k a n - - i	C V C V
1808	HuarazHuailas	bite, to	kani	kani	k a n i		373	k a n - - i	C V C V
1809	Imbabura	bite, to	kanina	kanina	k a n i n a		373	k a n i n a	C V C V C V
1810	Inkawasi	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
7339	Jauja	bite, to	kaniy	kaniy	k a n i		373	k a n - - i	C V C V
1816	Maragua	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
1817	Napo	bite, to	canina	canina	k a n i n a		373	k a n i n a	C V C V C V
1818	Pacaraos	bite, to	kani	kani	k a n i		373	k a n - - i	C V C V
1822	Puno	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
1826	Santiagueno	bite, to	kaniy	kaniy	k a n iː		373	k a n - - iː	C V C V
1832	Yanac	bite, to	kani.	kani.	k a n i		373	k a n - - i	C V C V
7021	Apuri	black	yana	yana	j a n a		467	j a n a	C V C V
7022	Apurimac	black	yana	yana	j a n a		467	j a n a	C V C V
7024	Atalla	black	yana	yana	j a n a		467	j a n a	C V C V
7025	Ayacucho	black	yana	yana	j a n a		467	j a n a	C V C V
7263	Azuay	black	yana	yana	j a n a		467	j a n a	C V C V
7028	Chachapoyas	black	yana	yana	j a n a		467	j a n a	C V C V
7029	Chacpar	black	yana	yana	j a n a		467	j a n a	C V C V
7030	Chetilla	black	yana	yana	j a n a		467	j a n a	C V C V
7035	Huallaga	black	yana	yana	j a n a		467	j a n a	C V C V
7038	Huangascar	black	yana	yana	j a n a		467	j a n a	C V C V
7039	HuarazHuailas	black	yana	yana	j a ɲ a		467	j a ɲ a	C V C V
7040	Imbabura	black	yana	yana	j a n a		467	j a n a	C V C V
7041	Inkawasi	black	yana	yana	j a n a		467	j a n a	C V C V
7340	Jauja	black	yana	yana	j a n a		467	j a n a	C V C V
7049	Maragua	black	yana	yana	j a n a		467	j a n a	C V C V
7050	Napo	black	yana	yana	j a n a		467	j a n a	C V C V
7051	Pacaraos	black	yana	yana	j a n a		467	j a n a	C V C V
7056	Puno	black	yana	yana	j a n a		467	j a n a	C V C V
7060	Santiagueno	black	yana	yana	j a n a		467	j a n a	C V C V
7069	Yanac	black	yana	yana	j a n a		467	j a n a	C V C V
3922	Apuri	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
3923	Apurimac	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3925	Atalla	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3926	Ayacucho	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
7207	Azuay	blood	yahuar	yahuar	j a w a ɾ		537	j a w a ɾ	C V C V C
3929	Chachapoyas	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3930	Chacpar	blood	yawaŕ	yawaŕ	j a w a r̥		537	j a w a r̥	C V C V C
3931	Chetilla	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3936	Huallaga	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3939	Huangascar	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
3940	HuarazHuailas	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
3941	Imbabura	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
3942	Inkawasi	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
7341	Jauja	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3950	Maragua	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3952	Pacaraos	blood	yawar	yawar	j a w a ɾ		537	j a w a ɾ	C V C V C
3956	Puno	blood	yawar	yawar	j a w a r		537	j a w a r	C V C V C
3960	Santiagueno	blood	yaar	yaar	j aː ɾ		537	j aː - - ɾ	C V C
3970	Yanac	blood	yawaŕ	yawaŕ	j a w a r̥		537	j a w a r̥	C V C V C
4021	Apuri	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4022	Apurimac	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4023	Atalla	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
4024	Ayacucho	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
7208	Azuay	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4027	Chachapoyas	bone	tullu	tullu	t u dʑ u		581	t u dʑ u	C V C V
4028	Chacpar	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
4029	Chetilla	bone	tudžu	tudžu	t u dʒ u		581	t u dʒ u	C V C V
4034	Huallaga	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
4037	Huangascar	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4038	HuarazHuailas	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4039	Imbabura	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4040	Inkawasi	bone	tužu	tužu	t u ʒ u		581	t u ʒ u	C V C V
7342	Jauja	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4047	Maragua	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
4048	Napo	bone	tullu	tullu	t u ʎ u		581	t u ʎ u	C V C V
4049	Pacaraos	bone	tulu	tulu	t u l u		581	t u l u	C V C V
4053	Puno	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
4057	Santiagueno	bone	tullu	tullu	t u ʒ u		581	t u ʒ u	C V C V
4066	Yanac	bone	tuλu	tuλu	t u ʎ u		581	t u ʎ u	C V C V
6737	Chetilla	branch	rikra	rikra	r i k r a		810	r i k r - - - - a	C V C C V
6746	Inkawasi	branch	rikra	rikra	r i k r a		810	r i k r - - - - a	C V C C V
6730	Apuri	branch	chapra	chapra	tʃ a p ɾ a		621	tʃ a p ɾ a	C V C C V
6732	Atalla	branch	čapra	čapra	tʃ a p r a		621	tʃ a p r a	C V C C V
6741	Huallaga	branch	čapsa	čapsa	tʃ a p s a		621	tʃ a p s a	C V C C V
6744	Huangascar	branch	chapra	chapra	tʃ a p ɾ a		621	tʃ a p ɾ a	C V C C V
7343	Jauja	branch	chapla	chapla	tʃ a p l a		621	tʃ a p l a	C V C C V
6751	Maragua	branch	č'aχra	č'aχra	tʃʼ a χ r a		621	tʃʼ a χ r a	C V C C V
6349	Apuri	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6350	Apurimac	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6352	Atalla	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6353	Ayacucho	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
7250	Azuay	bread	tanda	tanda	t a n d a		658	t a n d a	C V C C V
6356	Chachapoyas	bread	tanta	tanta	t a n d a		658	t a n d a	C V C C V
6357	Chacpar	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6358	Chetilla	bread	tanda	tanda	t a n d a		658	t a n d a	C V C C V
6363	Huallaga	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6366	Huangascar	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6367	HuarazHuailas	bread	tanta	tanta	t a ɲ t a		658	t a ɲ t a	C V C C V
6368	Imbabura	bread	tanda	tanda	t a n d a		658	t a n d a	C V C C V
6369	Inkawasi	bread	tanda	tanda	t a n d a		658	t a n d a	C V C C V
7344	Jauja	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6375	Maragua	bread	t'anta	t'anta	tʼ a n t a		658	tʼ a n t a	C V C C V
6376	Napo	bread	tanda	tanda	t a n d a		658	t a n d a	C V C C V
6377	Pacaraos	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6380	Puno	bread	t'anta	t'anta	tʼ a n t a		658	tʼ a n t a	C V C C V
6384	Santiagueno	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
6392	Yanac	bread	tanta	tanta	t a n t a		658	t a n t a	C V C C V
4262	Apuri	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4263	Apurimac	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4266	Atalla	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4267	Ayacucho	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4272	Chachapoyas	breast	chuchu,  ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4286	Huangascar	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4287	HuarazHuailas	breast	ñuñu	ñuñu	ɳ u ɳ u		697	ɳ u ɳ u	C V C V
4289	Inkawasi	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4297	Maragua	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4303	Puno	breast	ñuñu	ñuñu	ɲ u ɲ u		697	ɲ u ɲ u	C V C V
4261	Apuri	breast	chichi	chichi	tʃ i tʃ i		696	tʃ i tʃ - - i	C V C V
4271	Chachapoyas	breast	chuchu,  ñuñu	chuchu	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4273	Chacpar	breast	čuču	čuču	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4274	Chetilla	breast	čuču	čuču	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4280	Huallaga	breast	čuču, čiči	čuču	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4285	Huangascar	breast	chichi	chichi	tʃ i tʃ i		696	tʃ i tʃ - - i	C V C V
4288	Imbabura	breast	chuchu	chuchu	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4283	Jauja	breast	chuchu	chuchu	tʃ u tʃ u	(senos)	696	tʃ u tʃ - - u	C V C V
4298	Napo	breast	chuchu	chuchu	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
4299	Pacaraos	breast	chuchu	chuchu	tʃ u tʃ u		696	tʃ u tʃ - - u	C V C V
5138	Apuri	brother (man's)	wawqui	wawqui	w au q i		740	w au q i	C V C V
5139	Apurimac	brother (man's)	wawqe	wawqe	w au q e		740	w au q e	C V C V
5141	Atalla	brother (man's)	wawχi	wawχi	w au χ i		740	w au χ i	C V C V
5142	Ayacucho	brother (man's)	wawque	wawque	w au χ e		740	w au χ e	C V C V
7228	Azuay	brother (man's)	huauqui	huauqui	w au k i		740	w au k i	C V C V
5145	Chachapoyas	brother (man's)	wawki	wawki	w au k i		740	w au k i	C V C V
5146	Chacpar	brother (man's)	wawqi	wawqi	w au q i		740	w au q i	C V C V
5152	Huallaga	brother (man's)	wawqi	wawqi	w au q i		740	w au q i	C V C V
5155	Huangascar	brother (man's)	wawqui	wawqui	w au q i		740	w au q i	C V C V
5156	HuarazHuailas	brother (man's)	wawqi	wawqi	w au q i		740	w au q i	C V C V
5157	Imbabura	brother (man's)	wawki	wawki	w au k i		740	w au k i	C V C V
7345	Jauja	brother (man's)	wawqi	wawqi	w au ʔ i		740	w au ʔ i	C V C V
5166	Napo	brother (man's)	huauqui	huauqui	w au k i		740	w au k i	C V C V
5167	Pacaraos	brother (man's)	wawqi	wawqi	w au χ e		740	w au χ e	C V C V
5175	Santiagueno	brother (man's)	wawqe	wawqe	w au q ɪ		740	w au q ɪ	C V C V
5184	Yanac	brother (man's)	ġo:qi	ġo:qi	ɢ oː q i		740	ɢ oː q i	C V C V
5165	Maragua	brother (man's)	ñaña	ñaña	ɲ a ɲ a		665	ɲ a ɲ a	C V C V
5171	Puno	brother (man's)	tura	tura	t u r a		781	t u r a	C V C V
5186	Apuri	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
5187	Apurimac	brother (woman's)	toray	toray	t o r ai		781	t o r ai	C V C V
5189	Atalla	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5190	Ayacucho	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
7229	Azuay	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
5193	Chachapoyas	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5194	Chacpar	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5195	Chetilla	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5200	Huallaga	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5203	Huangascar	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
5204	HuarazHuailas	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
7346	Jauja	brother (woman's)	tuli	tuli	t u l i		781	t u l i	C V C V
5214	Napo	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
5215	Pacaraos	brother (woman's)	turi	turi	t u ɾ i		781	t u ɾ i	C V C V
5223	Santiagueno	brother (woman's)	tura	tura	t u ɾ a		781	t u ɾ a	C V C V
5233	Yanac	brother (woman's)	turi	turi	t u r i		781	t u r i	C V C V
6253	Apuri	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6254	Apurimac	cloud	puyu, fuyu	puyu	p u j u		821	p u j u	C V C V
6257	Atalla	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6258	Ayacucho	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
7248	Azuay	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6261	Chachapoyas	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6271	Huangascar	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6273	Imbabura	cloud	fuyu	fuyu	f u j u		821	f u j u	C V C V
6281	Maragua	cloud	phuyu	phuyu	pʰ u j u		821	pʰ u j u	C V C V
6282	Napo	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6287	Puno	cloud	phuyu	phuyu	pʰ u j u		821	pʰ u j u	C V C V
6291	Santiagueno	cloud	puyu	puyu	p u j u		821	p u j u	C V C V
6262	Chacpar	cloud	pu.kute:	pu.kute:	p u k u t eː		848	p u k u t eː	C V C V C V
6263	Chetilla	cloud	pu.kutay	pu.kutay	p u k u t ai		848	p u k u t ai	C V C V C V
6268	Huallaga	cloud	pu.kutay	pu.kutay	p u k u t ai		848	p u k u t ai	C V C V C V
6272	HuarazHuailas	cloud	pukutay	pukutay	p u k u t ai		848	p u k u t ai	C V C V C V
6274	Inkawasi	cloud	pu.ktay	pu.ktay	p u k t ai		848	p u k - t ai	C V C C V
7347	Jauja	cloud	pukutay	pukutay	p u k u t ai		848	p u k u t ai	C V C V C V
6283	Pacaraos	cloud	pukutay	pukutay	p u k u t ai		848	p u k u t ai	C V C V C V
6300	Yanac	cloud	pu.kute	pu.kute	p u k u t eː		848	p u k u t eː	C V C V C V
992	Apuri	cold	chiri, alalay	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
994	Apurimac	cold	chiri	chiri	tʃ i r i		852	tʃ i r i	C V C V
996	Atalla	cold	čiri	čiri	tʃ i r i		852	tʃ i r i	C V C V
997	Ayacucho	cold	chiri	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
7283	Azuay	cold	chiri	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
1000	Chachapoyas	cold	chiri	chiri	tʃ i r i		852	tʃ i r i	C V C V
1002	Chetilla	cold	čiri	čiri	tʃ i r i		852	tʃ i r i	C V C V
1010	Huangascar	cold	chiri, alalay	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
1013	Imbabura	cold	chiri	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
1021	Maragua	cold	čiri	čiri	tʃ i r i		852	tʃ i r i	C V C V
1022	Napo	cold	chiri	chiri	tʃ i r i		852	tʃ i r i	C V C V
1027	Puno	cold	čiri	čiri	tʃ i r i		852	tʃ i r i	C V C V
1032	Santiagueno	cold	chiri	chiri	tʃ i ɾ i		852	tʃ i ɾ i	C V C V
993	Apuri	cold	chiri, alalay	alalay	a l a l ai		853	a l a l ai -	V C V C V
1001	Chacpar	cold	ala	ala	a l a		853	a l - - a -	V C V
1011	Huangascar	cold	chiri, alalay	alalay	a l a l ai		853	a l a l ai -	V C V C V
1012	HuarazHuailas	cold	alaalay	alaalay	a l aː l ai		853	a l aː l ai -	V C V C V
7348	Jauja	cold	alalaq	alalaq	a l a l a ʔ		853	a l a l a ʔ	V C V C V C
1023	Pacaraos	cold	alalay	alalay	a l a l ai		853	a l a l ai -	V C V C V
1041	Yanac	cold	ala.la	ala.la	a l a l a		853	a l a l a -	V C V C V
