ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
1833	Mangareva	Five	rima	rima	r i m a		2	r i m a	C V C V	- r i m a	r i m a	C V C V
716	Maori	Five	rima	rima	r i m a	Five.(Source: Pollex)	2	r i m a	C V C V	- r i m a	r i m a	C V C V
4124	MeleFila	Five	e-rima	e-rima	r i m a		2	r i m a	C V C V	e r i m a	e r i m a	V C V C V
4774	Niuean	Five	lima	lima	l i m a	Five, hand.(Source: Pollex)	2	l i m a	C V C V	- l i m a	l i m a	C V C V
3249	NorthMarquesan	Five	'ima	'ima	ʔ i m a	Five, hand.(Source: Pollex)	2	ʔ i m a	C V C V	- ʔ i m a	ʔ i m a	C V C V
6251	Nukeria	Five	rima	rima	r i m a		2	r i m a	C V C V	- r i m a	r i m a	C V C V
6045	Penrhyn	Five	rima	rima	r i m a	Five, hand-arm.(Source: Pollex)	2	r i m a	C V C V	- r i m a	r i m a	C V C V
500	Polynesian	Five	*lima	*lima	l i m a		2	l i m a	C V C V	- l i m a	l i m a	C V C V
3822	Pukapuka	Five	lima	lima	l i m a		2	l i m a	C V C V	- l i m a	l i m a	C V C V
2517	RakahangaManihiki	Five	lima	lima	l i m a		2	l i m a	C V C V	- l i m a	l i m a	C V C V
1581	Rapanui	Five	rima	rima	r i m a		2	r i m a	C V C V	- r i m a	r i m a	C V C V
7306	Anuta	Four	paa	paa	p aː	Four (Cpl)	3	p aː	C V	- - p aː	p aː	C V
3538	EastFutuna	Four	faa	faa	f aː	Four	3	f aː	C V	- - f aː	f aː	C V
252	EastUvea	Four	faa	faa	f aː	Four	3	f aː	C V	- - f aː	f aː	C V
1389	Emae	Four	fa	fa	f a		3	f a	C V	- - f a	f a	C V
5271	FutunaAniwa	Four	fa	fa	f a	Four (Cpl)	3	f a	C V	- - f a	f a	C V
5517	Hawaiian	Four	hā	hā	h aː		3	h aː	C V	- - h aː	h aː	C V
940	Kapingamarangi	Four	haa	haa	h aː	Four (Lbr)	3	h aː	C V	- - h aː	h aː	C V
2084	Luangiua	Four	hā	hā	h aː	four	3	h aː	C V	- - h aː	h aː	C V
1834	Mangareva	Four	'a	'a	ʔ a		3	ʔ a	C V	- - ʔ a	ʔ a	C V
717	Maori	Four	whaa	faː	f aː		3	f aː	C V	- - f aː	f aː	C V
4125	MeleFila	Four	e-fa	e-fa	f a		3	f a	C V	- e f a	e f a	V C V
4775	Niuean	Four	faa	faa	f aː	four	3	f aː	C V	- - f aː	f aː	C V
3250	NorthMarquesan	Four	faa	faa	f aː	Four	3	f aː	C V	- - f aː	f aː	C V
6252	Nukeria	Four	haa	haa	h aː		3	h aː	C V	- - h aː	h aː	C V
6046	Penrhyn	Four	haa	haa	h aː	Four	3	h aː	C V	- - h aː	h aː	C V
501	Polynesian	Four	*faa	*faa	f aː		3	f aː	C V	- - f aː	f aː	C V
3823	Pukapuka	Four	wā	wā	w aː		3	w aː	C V	- - w aː	w aː	C V
4319	Raivavae	Four	maha	maha	h a		3	h a	C V	m a h a	m a h a	C V C V
2518	RakahangaManihiki	Four	faa	faa	f aː		3	f aː	C V	- - f aː	f aː	C V
1582	Rapanui	Four	ha	ha	h a		3	h a	C V	- - h a	h a	C V
7327	Anuta	I	kau	kau	u	First person singular pronoun used as subject in active	4	- - u	V	k a - - u	k a u	C V V
3563	EastFutuna	I	kau	kau	u	Phrase internal first person singular pronoun (Bgs)	4	- - u	V	k a - - u	k a u	C V V
273	EastUvea	I	koau	koau	a u		4	- a u	V V	k o - a u	k o a u	C V V V
1412	Emae	I	kou	kou	u		4	- - u	V	k o - - u	k o u	C V V
5290	FutunaAniwa	I	au	au	a u	I,  me (Dty)	4	- a u	V V	- - - a u	a u	V V
5540	Hawaiian	I	['o] au	au	a u		4	- a u	V V	- - - a u	a u	V V
959	Kapingamarangi	I	au	au	a u	I, me (Lbr)	4	- a u	V V	- - - a u	a u	V V
2105	Luangiua	I	aŋau	aŋau	ŋ a u	I (Tpe)	4	ŋ a u	C V V	- a ŋ a u	a ŋ a u	V C V V
1853	Mangareva	I	au	au	a u		4	- a u	V V	- - - a u	a u	V V
741	Maori	I	au	au	a u		4	- a u	V V	- - - a u	a u	V V
4148	MeleFila	I	aβau	aβau	β a u		4	β a u	C V V	- a β a u	a β a u	V C V V
4796	Niuean	I	kau	kau	u	First person singular pronoun	4	- - u	V	k a - - u	k a u	C V V
3273	NorthMarquesan	I	au	au	a u	First person singular pronoun (Bgs)	4	- a u	V V	- - - a u	a u	V V
6275	Nukeria	I	nau	nau	n a u		4	n a u	C V V	- - n a u	n a u	C V V
6059	Penrhyn	I	au	au	a u	I, me	4	- a u	V V	- - - a u	a u	V V
518	Polynesian	I	*au	*au	a u	(indep.)	4	- a u	V V	- - - a u	a u	V V
3858	Pukapuka	I	au	au	a u		4	- a u	V V	- - - a u	a u	V V
4341	Raivavae	I	vau	vau	v a u		4	v a u	C V V	- - v a u	v a u	C V V
2541	RakahangaManihiki	I	koau	koau	a u		4	- a u	V V	k o - a u	k o a u	C V V V
1605	Rapanui	I	au	au	a u		4	- a u	V V	- - - a u	a u	V V
3562	EastFutuna	I	-ku	-ku	k u	person singular (Possessive)	1460	k u	C V	- k u	k u	C V
4795	Niuean	I	-ku	-ku	k u	First person singular (Possessive)	1460	k u	C V	- k u	k u	C V
3272	NorthMarquesan	I	='u	='u	ʔ u	First person singular	1460	ʔ u	C V	- ʔ u	ʔ u	C V
3857	Pukapuka	I	aku	aku	k u	(preverbal)	1460	k u	C V	a k u	a k u	V C V
7301	Anuta	Nine	iva	iva	i v a	Nine (Yen).(Source: Pollex). Green 71 notes this is a loan from Tikopia	945	i v a	V C V	- i v a	i v a	V C V
3533	EastFutuna	Nine	iva	iva	i v a	Nine.(Source: Pollex)	945	i v a	V C V	- i v a	i v a	V C V
247	EastUvea	Nine	hiva	hiva	i v a	Nine[>].(Source: Pollex)	945	i v a	V C V	h i v a	h i v a	C V C V
1384	Emae	Nine	siβa	siβa	i β a		945	i β a	V C V	s i β a	s i β a	C V C V
5267	FutunaAniwa	Nine	iva	iva	i v a	Nine (Dty).(Source: Pollex)	945	i v a	V C V	- i v a	i v a	V C V
5512	Hawaiian	Nine	iwa	iwa	i w a	Nine.(Source: Pollex)	945	i w a	V C V	- i w a	i w a	V C V
936	Kapingamarangi	Nine	hiwa	hiwa	i w a	Nine (Lbr)[>].(Source: Pollex)	945	i w a	V C V	h i w a	h i w a	C V C V
2079	Luangiua	Nine	sivo	sivo	i v o	Nine.(Source: Pollex)	945	i v o	V C V	s i v o	s i v o	C V C V
1829	Mangareva	Nine	iva	iva	i v a		945	i v a	V C V	- i v a	i v a	V C V
712	Maori	Nine	iwa	iwa	i w a	Nine.(Source: Pollex)	945	i w a	V C V	- i w a	i w a	V C V
4120	MeleFila	Nine	siwa	siwa	i w a		945	i w a	V C V	s i w a	s i w a	C V C V
4770	Niuean	Nine	hiva	hiva	i v a	Nine.(Source: Pollex)	945	i v a	V C V	h i v a	h i v a	C V C V
3245	NorthMarquesan	Nine	iva	iva	i v a	Nine.(Source: Pollex)	945	i v a	V C V	- i v a	i v a	V C V
6247	Nukeria	Nine	siva	siva	i v a		945	i v a	V C V	s i v a	s i v a	C V C V
6041	Penrhyn	Nine	iva	iva	i v a	Nine.(Source: Pollex)	945	i v a	V C V	- i v a	i v a	V C V
3818	Pukapuka	Nine	iva	iva	i v a	Nine (Bge).(Source: Pollex)	945	i v a	V C V	- i v a	i v a	V C V
4314	Raivavae	Nine	iva	iva	i v a		945	i v a	V C V	- i v a	i v a	V C V
1577	Rapanui	Nine	iva	iva	i v a		945	i v a	V C V	- i v a	i v a	V C V
7309	Anuta	One	tasi	tasi	t a s i		335	t a s i	C V C V	- - - - t a s i	t a s i	C V C V
3541	EastFutuna	One	tasi	tasi	t a s i	One (Bgs)	335	t a s i	C V C V	- - - - t a s i	t a s i	C V C V
255	EastUvea	One	tahi	tahi	t a h i	One	335	t a h i	C V C V	- - - - t a h i	t a h i	C V C V
1392	Emae	One	tasi	tasi	t a s i		335	t a s i	C V C V	- - - - t a s i	t a s i	C V C V
5274	FutunaAniwa	One	tasi	tasi	t a s i		335	t a s i	C V C V	- - - - t a s i	t a s i	C V C V
5520	Hawaiian	One	'ekahi	'ekahi	a h i		335	- a h i	V C V	ʔ e k - - a h i	ʔ e k a h i	C V C V C V
943	Kapingamarangi	One	dahi	dahi	d a h i	One (Lbr)	335	d a h i	C V C V	- - - - d a h i	d a h i	C V C V
2087	Luangiua	One	kahi	kahi	a h i	One	335	- a h i	V C V	- - k - - a h i	k a h i	C V C V
1837	Mangareva	One	ta'i	ta'i	t a ʔ i		335	t a ʔ i	C V C V	- - - - t a ʔ i	t a ʔ i	C V C V
720	Maori	One	tahi	tahi	t a h i		335	t a h i	C V C V	- - - - t a h i	t a h i	C V C V
4128	MeleFila	One	etasi	etasi	t a s i		335	t a s i	C V C V	- e - - t a s i	e t a s i	V C V C V
3253	NorthMarquesan	One	tahi	tahi	t a h i	One	335	t a h i	C V C V	- - - - t a h i	t a h i	C V C V
6255	Nukeria	One	hokotahi	hokotahi	t a h i	(reporting)	335	t a h i	C V C V	h o k o t a h i	h o k o t a h i	C V C V C V C V
6049	Penrhyn	One	tahi	tahi	t a h i	One (Bge)	335	t a h i	C V C V	- - - - t a h i	t a h i	C V C V
3826	Pukapuka	One	tayi	tayi	t a j i		335	t a j i	C V C V	- - - - t a j i	t a j i	C V C V
2521	RakahangaManihiki	One	tetahi	tetahi	t a h i		335	t a h i	C V C V	t e - - t a h i	t e t a h i	C V C V C V
1585	Rapanui	One	tahi	tahi	t a h i	One	335	t a h i	C V C V	- - - - t a h i	t a h i	C V C V
7299	Anuta	One Hundred	rau	rau	r a u	One hundred (Fbg).(Source: Pollex)	518	r a u	C V V	- - - - - - r a u	r a u	C V V
3529	EastFutuna	One Hundred	kaulelau	kaulelau	l a u		518	l a u	C V V	k a - u l e l a u	k a u l e l a u	C V V C V C V V
245	EastUvea	One Hundred	te/au/	te		Hundred (Btn) B.[>].(Source: Pollex)	518	- - -		t e - - - - - - -	t e	C V
934	Kapingamarangi	One Hundred	lau	lau	l a u	Hundred (Lbr).(Source: Pollex)	518	l a u	C V V	- - - - - - l a u	l a u	C V V
2077	Luangiua	One Hundred	hui kalau	hui kalau	l a u	one hundred	518	l a u	C V V	h u - i k a l a u	h u i k a l a u	C V V C V C V V
1825	Mangareva	One Hundred	rau	rau	r a u		518	r a u	C V V	- - - - - - r a u	r a u	C V V
707	Maori	One Hundred	rau	rau	r a u	A large number, hundred.(Source: Pollex)	518	r a u	C V V	- - - - - - r a u	r a u	C V V
4766	Niuean	One Hundred	te au	te au	a u	Hundred (McE).(Source: Pollex)	518	- a u	V V	t e - - - - - a u	t e a u	C V V V
3241	NorthMarquesan	One Hundred	'au	'au	a u	Originally two hundred or four hundred but now one hundred (Bgs).(Source: Pollex)	518	- a u	V V	ʔ - - - - - - a u	ʔ a u	C V V
6243	Nukeria	One Hundred	rau	rau	r a u		518	r a u	C V V	- - - - - - r a u	r a u	C V V
6039	Penrhyn	One Hundred	rau	rau	r a u	Hundred.(Source: Pollex)	518	r a u	C V V	- - - - - - r a u	r a u	C V V
3809	Pukapuka	One Hundred	tino-we-lau	tino-we-lau	l a u	100 people	518	l a u	C V V	t i n o w e l a u	t i n o w e l a u	C V C V C V C V V
4310	Raivavae	One Hundred	Gau	Gau	a u		518	- a u	V V	- - - - ɢ - - a u	ɢ a u	C V V
1574	Rapanui	One Hundred	rau	rau	r a u		518	r a u	C V V	- - - - - - r a u	r a u	C V V
7298	Anuta	One Thousand	ape	ape	a p e	Thousand, A thousand, or ten thousand (Fbg).(Source: Pollex)	665	a p e	V C V	a p e	a p e	V C V
3528	EastFutuna	One Thousand	afe	afe	a f e	Thousand (Bgs).(Source: Pollex)	665	a f e	V C V	a f e	a f e	V C V
244	EastUvea	One Thousand	afe	afe	a f e	Thousand.(Source: Pollex)	665	a f e	V C V	a f e	a f e	V C V
4765	Niuean	One Thousand	afe	afe	a f e	Thousand (Sph).(Source: Pollex)	665	a f e	V C V	a f e	a f e	V C V
7297	Anuta	One Thousand	mano	mano	m a n o	Thousand, A thousand, or ten thousand (Fbg).(Source: Pollex)	519	m a n o	C V C V	m a n o	m a n o	C V C V
933	Kapingamarangi	One Thousand	mana	mana	m a n a	Thousand (Lbr).(Source: Pollex)	519	m a n a	C V C V	m a n a	m a n a	C V C V
1824	Mangareva	One Thousand	mano	mano	m a n o		519	m a n o	C V C V	m a n o	m a n o	C V C V
706	Maori	One Thousand	mano	mano	m a n o	Thousand, multitude.(Source: Pollex)	519	m a n o	C V C V	m a n o	m a n o	C V C V
3808	Pukapuka	One Thousand	mano	mano	m a n o	Thousand (Bge).(Source: Pollex)	519	m a n o	C V C V	m a n o	m a n o	C V C V
4308	Raivavae	One Thousand	mano	mano	m a n o		519	m a n o	C V C V	m a n o	m a n o	C V C V
1573	Rapanui	One Thousand	mano	mano	m a n o		519	m a n o	C V C V	m a n o	m a n o	C V C V
7303	Anuta	Seven	pitu	pitu	p i t u	Seven.(Source: Pollex)	6	p i t u	C V C V	- p i t u	p i t u	C V C V
3535	EastFutuna	Seven	fitu	fitu	f i t u	Seven.(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
249	EastUvea	Seven	fitu	fitu	f i t u	Seven.(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
1386	Emae	Seven	fitu	fitu	f i t u		6	f i t u	C V C V	- f i t u	f i t u	C V C V
5269	FutunaAniwa	Seven	fitu	fitu	f i t u	Seven (Dty).(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
5514	Hawaiian	Seven	hiku	hiku	h i k u	Seven.(Source: Pollex)	6	h i k u	C V C V	- h i k u	h i k u	C V C V
938	Kapingamarangi	Seven	hidu	hidu	h i d u	Seven (Lbr).(Source: Pollex)	6	h i d u	C V C V	- h i d u	h i d u	C V C V
2081	Luangiua	Seven	hiku	hiku	h i k u	Seven.(Source: Pollex)	6	h i k u	C V C V	- h i k u	h i k u	C V C V
1831	Mangareva	Seven	'itu	'itu	ʔ i t u		6	ʔ i t u	C V C V	- ʔ i t u	ʔ i t u	C V C V
714	Maori	Seven	whitu	fitu	f i t u	Seven.(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
4122	MeleFila	Seven	eβitu	eβitu	β i t u		6	β i t u	C V C V	e β i t u	e β i t u	V C V C V
4772	Niuean	Seven	fitu	fitu	f i t u	Seven.(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
3247	NorthMarquesan	Seven	fitu	fitu	f i t u	Seven.(Source: Pollex)	6	f i t u	C V C V	- f i t u	f i t u	C V C V
6249	Nukeria	Seven	hitu	hitu	h i t u		6	h i t u	C V C V	- h i t u	h i t u	C V C V
6043	Penrhyn	Seven	hitu	hitu	h i t u	Seven.(Source: Pollex)	6	h i t u	C V C V	- h i t u	h i t u	C V C V
3820	Pukapuka	Seven	witu	witu	w i t u	Seven (Bge).(Source: Pollex)	6	w i t u	C V C V	- w i t u	w i t u	C V C V
4316	Raivavae	Seven	hitu	hitu	h i t u		6	h i t u	C V C V	- h i t u	h i t u	C V C V
1579	Rapanui	Seven	hitu	hitu	h i t u		6	h i t u	C V C V	- h i t u	h i t u	C V C V
7304	Anuta	Six	ono	ono	o n o	six	7	o n o	V C V	- - o n o	o n o	V C V
3536	EastFutuna	Six	ono	ono	o n o	Six. (Source: Pollex)	7	o n o	V C V	- - o n o	o n o	V C V
250	EastUvea	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
1387	Emae	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
5515	Hawaiian	Six	'eono	'eono	o n o		7	o n o	V C V	ʔ e o n o	ʔ e o n o	C V V C V
2082	Luangiua	Six	oŋo	oŋo	o ŋ o	six	7	o ŋ o	V C V	- - o ŋ o	o ŋ o	V C V
1832	Mangareva	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
715	Maori	Six	ono	ono	o n o	Six. (Source: Pollex)	7	o n o	V C V	- - o n o	o n o	V C V
4123	MeleFila	Six	e-ono	e-ono	o n o		7	o n o	V C V	- e o n o	e o n o	V V C V
4773	Niuean	Six	ono	ono	o n o	Pollex 06: Ono. :Six (Sph)	7	o n o	V C V	- - o n o	o n o	V C V
3248	NorthMarquesan	Six	ono	ono	o n o	Pollex 06: Ono. :Six (Dln).	7	o n o	V C V	- - o n o	o n o	V C V
6250	Nukeria	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
6044	Penrhyn	Six	ono	ono	o n o	Pollex 06: Ono. :Six (Sta).	7	o n o	V C V	- - o n o	o n o	V C V
3821	Pukapuka	Six	ono	ono	o n o	Six (Bge).(Source: Pollex)	7	o n o	V C V	- - o n o	o n o	V C V
4317	Raivavae	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
2515	RakahangaManihiki	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
1580	Rapanui	Six	ono	ono	o n o		7	o n o	V C V	- - o n o	o n o	V C V
7300	Anuta	Ten	pu/angapuru/	angapuru	a ŋ a p u r u	Ten (Fbg).(Source: Pollex)	946	- a ŋ a p u r u	V C V C V C V	- - - a ŋ a p u r u	a ŋ a p u r u	V C V C V C V
3532	EastFutuna	Ten	kau/agafulu/	agafulu	a ŋ a f u l u	Ten.(Source: Pollex)	946	- a ŋ a f u l u	V C V C V C V	- - - a ŋ a f u l u	a ŋ a f u l u	V C V C V C V
246	EastUvea	Ten	hogofulu	hogofulu	h o ŋ o f u l u	Ten[>].(Source: Pollex)	946	h o ŋ o f u l u	C V C V C V C V	- - h o ŋ o f u l u	h o ŋ o f u l u	C V C V C V C V
1383	Emae	Ten	ŋafuru	ŋafuru	ŋ a f u r u		946	- - ŋ a f u r u	C V C V C V	- - - - ŋ a f u r u	ŋ a f u r u	C V C V C V
5266	FutunaAniwa	Ten	tar/agafuru/	agafuru	a g a f u r u	Ten (Dty).(Source: Pollex)	946	- a g a f u r u	V C V C V C V	- - - a g a f u r u	a g a f u r u	V C V C V C V
5511	Hawaiian	Ten	anahulu	anahulu	a n a h u l u	Ten days.(Source: Pollex)	946	- a n a h u l u	V C V C V C V	- - - a n a h u l u	a n a h u l u	V C V C V C V
935	Kapingamarangi	Ten	matangahoru	matangahoru	t a ŋ a h o r u	Ten.(Source: Pollex)	946	t a ŋ a h o r u	C V C V C V C V	m a t a ŋ a h o r u	m a t a ŋ a h o r u	C V C V C V C V C V
2078	Luangiua	Ten	saŋahulu	saŋahulu	s a ŋ a h u l u	Ten.(Source: Pollex)	946	s a ŋ a h u l u	C V C V C V C V	- - s a ŋ a h u l u	s a ŋ a h u l u	C V C V C V C V
1828	Mangareva	Ten	rongo'uru	rongo'uru	r o ŋ o ʔ u r u		946	r o ŋ o ʔ u r u	C V C V C V C V	- - r o ŋ o ʔ u r u	r o ŋ o ʔ u r u	C V C V C V C V
711	Maori	Ten	hangahuru	hangahuru	h a ŋ a h u r u	Ten (archaic) (Bgs), Ten (Best).(Source: Pollex)	946	h a ŋ a h u r u	C V C V C V C V	- - h a ŋ a h u r u	h a ŋ a h u r u	C V C V C V C V
4119	MeleFila	Ten	siŋofuru	siŋofuru	s i ŋ o f u r u		946	s i ŋ o f u r u	C V C V C V C V	- - s i ŋ o f u r u	s i ŋ o f u r u	C V C V C V C V
4769	Niuean	Ten	hongofulu	hongofulu	h o ŋ o f u l u	Ten.(Source: Pollex)	946	h o ŋ o f u l u	C V C V C V C V	- - h o ŋ o f u l u	h o ŋ o f u l u	C V C V C V C V
3243	NorthMarquesan	Ten	'okohu'u	'okohu'u	ʔ o k o h u ʔ u	Ten.(Source: Pollex)	946	ʔ o k o h u ʔ u	C V C V C V C V	- - ʔ o k o h u ʔ u	ʔ o k o h u ʔ u	C V C V C V C V
6246	Nukeria	Ten	hanahuru	hanahuru	h a n a h u r u		946	h a n a h u r u	C V C V C V C V	- - h a n a h u r u	h a n a h u r u	C V C V C V C V
6040	Penrhyn	Ten	ngahuru	ngahuru	ŋ a h u r u	Ten.(Source: Pollex)	946	- - ŋ a h u r u	C V C V C V	- - - - ŋ a h u r u	ŋ a h u r u	C V C V C V
3817	Pukapuka	Ten	laungaulu	laungaulu	u ŋ a u l u		946	- u ŋ a - u l u	V C V V C V	l a - u ŋ a - u l u	l a u ŋ a u l u	C V V C V V C V
4313	Raivavae	Ten	ʔahuGu	ʔahuGu	ʔ a h u ɢ u	Likely a Tahitian borrowing and hyper-nativization	946	ʔ a - - h u ɢ u	C V C V C V	- - ʔ a - - h u ɢ u	ʔ a h u ɢ u	C V C V C V
1576	Rapanui	Ten	aŋahuru	aŋahuru	a ŋ a h u r u		946	- a ŋ a h u r u	V C V C V C V	- - - a ŋ a h u r u	a ŋ a h u r u	V C V C V C V
7307	Anuta	Three	toru	toru	t o r u	Three	8	t o r u	C V C V	- t o r u	t o r u	C V C V
3539	EastFutuna	Three	tolu	tolu	t o l u	Three (Bgs)	8	t o l u	C V C V	- t o l u	t o l u	C V C V
253	EastUvea	Three	tolu	tolu	t o l u	Three	8	t o l u	C V C V	- t o l u	t o l u	C V C V
1390	Emae	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
5272	FutunaAniwa	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
5518	Hawaiian	Three	kolu	kolu	k o l u		8	k o l u	C V C V	- k o l u	k o l u	C V C V
941	Kapingamarangi	Three	dolu	dolu	d o l u	Three (Lbr)	8	d o l u	C V C V	- d o l u	d o l u	C V C V
2085	Luangiua	Three	kolu	kolu	k o l u	Three	8	k o l u	C V C V	- k o l u	k o l u	C V C V
1835	Mangareva	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
718	Maori	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
4126	MeleFila	Three	e-toru	e-toru	t o r u		8	t o r u	C V C V	e t o r u	e t o r u	V C V C V
4776	Niuean	Three	tolu	tolu	t o l u	Three (McE)	8	t o l u	C V C V	- t o l u	t o l u	C V C V
3251	NorthMarquesan	Three	to'u	to'u	t o ʔ u	Three	8	t o ʔ u	C V C V	- t o ʔ u	t o ʔ u	C V C V
6253	Nukeria	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
6047	Penrhyn	Three	toru	toru	t o r u	Three	8	t o r u	C V C V	- t o r u	t o r u	C V C V
502	Polynesian	Three	*tolu	*tolu	t o l u		8	t o l u	C V C V	- t o l u	t o l u	C V C V
3824	Pukapuka	Three	tolu	tolu	t o l u		8	t o l u	C V C V	- t o l u	t o l u	C V C V
4320	Raivavae	Three	toGu	toGu	t o ɢ u		8	t o ɢ u	C V C V	- t o ɢ u	t o ɢ u	C V C V
2519	RakahangaManihiki	Three	toru	toru	t o r u		8	t o r u	C V C V	- t o r u	t o r u	C V C V
1583	Rapanui	Three	toru	toru	t o r u	Three	8	t o r u	C V C V	- t o r u	t o r u	C V C V
709	Maori	Twenty	rua tekau	rua tekau	r u a t e k a u	Twenty (obs.), ten (mod) (Bgs).(Source: Pollex)	666	r u a t e k a - u	C V V C V C V V	r u a t e k a - u	r u a t e k a u	C V V C V C V V
6245	Nukeria	Twenty	tipu rua	tipu rua	t i p u r u a		666	t i - p u r u - a	C V C V C V V	t i - p u r u - a	t i p u r u a	C V C V C V V
3815	Pukapuka	Twenty	luangaulu	luangaulu	l u a ŋ a u l u	(Rarotongan)	666	l u a ŋ a - u l u	C V V C V V C V	l u a ŋ a - u l u	l u a ŋ a u l u	C V V C V V C V
1827	Mangareva	Twenty	takau	takau	t a k a u		805	t a k a u	C V C V V	t a k a u	t a k a u	C V C V V
4768	Niuean	Twenty	tekau	tekau	t e k a u	Twenty (only used in counting fish).(Source: Pollex)	805	t e k a u	C V C V V	t e k a u	t e k a u	C V C V V
